Show,Sentiment,Review
Made for Love,1,"Zany, sharp, and entertaining as ever, Made for Love remains one of HBO Max’s best original series."
All of Us Are Dead,1,ALL OF US ARE DEAD is a complex and humanistic creation that is thoroughly entertaining and fits in well with the K- zombie genre.
WandaVision,1,"WandaVision is clever, delightful, and a fun Marvel mystery to unravel. Worth the wait and a welcome start to Phase 4. Parents Guide."
Normal People,1,"Normal People is terrific, absolutely gorgeous, up there with the best TV dramas of recent years."
The Boys,1,"The Boys season 3 is pitch-perfect satire, and the wildest season yet."
Loki,1,"Marvel has created a vastly different series. Hiddleston thrives, and Wilson owns this role. It may end up being Marvel's best show yet."
WandaVision,1,A highly unique and entertaining pivot for the MCU. A delightful sitcom showcase for Elizabeth Olsen and Paul Bettany with a curious and somewhat chilling mystery afoot.
A Very English Scandal,1,There are few stories on TV told as well (and as brief) as this one. [Full review in Spanish]
Fleabag,1,"In a television landscape drowning with new shows, Fleabag holds its own and stands proudly as a shining example that you can still surprise people."
The Crown,1,"I remember in detail almost every event here that I found it so entertaining. Yes, there is a shaky start and the odd historical inaccuracy, but it is in my view Morgan's best series yet and, overall, five-star television."
Narcos,1,"It's ridiculous, barbaric and cruel; it's also great entertainment."
Watchmen,1,"It is dark, but it's also exciting; grim, but also invigorating. The action sequences are stunning, as are the performances."
Lovecraft Country,1,"With Lovecraft Country, HBO has found its next Watchmen, mixing high production and social commentary with pulpy genre tropes. It hits with the kind of twists and spectacle that will definitely keep social media buzzing."
His Dark Materials,1,Actress Ruth Wilson is at her scene-stealing best with a performance that's both seductive and chilling.
The Boys,1,"Season 3 of the crazy superhero satire is more violent, funnier, and darker than ever before. And it features some unexpected plot twists and crazy performances."
Stranger Things,1,Season 4 may just be the best one yet which shows how well the cast and crew have done creating something worthwhile.
Modern Family,1,"Modern Family encourages us to love one another, and celebrate our differences. It was a great show, and it will be missed."
Pachinko,1,"Pachinko is breathtaking in almost every department. Epic in scope but intimate in focus, it is easily not just one of this year’s great dramas; it stands out as among the best of the past few years."
Alias Grace,1,It's a fantastic cast and is very well written... I was very intrigued right from the start.
The Witcher,1,"For fans of this show and newcomers, ""The Witcher"" still delivers enough escapist fun."
Cowboy Bebop,1,"It tends to resemble a random grab-bag of American and Japanese TV icons, tossed into a blender that's set on puree. But it's fast, frantic, and very funny, the animation is top-notch, and ""Lupin"" fans at least will find the characters warmly familiar."
Mare of Easttown,1,"It is a performance that will undoubtedly get [Kate Winslet] awards season recognition next year, a circuit that is familiar ground for her. But great work never gets old."
Sweet Tooth,1,"Sweet Tooth is an absolute joy to behold, brimming with love, hope, beauty, and, well, sweet treats."
The Queen's Gambit,1,"The Queen's Gambit is the rare show that is as smart as advertised, and even more engaging."
The Alienist,1,"Sometimes all you want is a really compelling murder mystery with high production value and compelling characters, and in that way The Alienist: Angel of Darkness delivers."
WandaVision,1,What WandaVision truly is though - is a Marvel. A highly addictive slice of engrossing escapism that's also a wonderful celebration of television itself.
The Bletchley Circle,0,"Still fun on its own terms, the encore takes an unexpected little gem and transforms it into Murder, She (and She and She and She) Wrote."
Barry,1,One of the best shows on TV is finally back.
Hawkeye,1,"The return of street-level Marvel stories is refreshing, and the Christmastime setting of Hawkeye - combined with Marvel's classic comedy - helps provide some needed levity in an otherwise dark series."
Twin Peaks,1,"Things may be a little different but, twenty-five years later, Twin Peaks is still a place I want to be."
The Boys Presents: Diabolical,1,"Ultimately, Diabolical is great if you like animation, but you won’t feel lost during The Boys if you skip it. You should still watch “John and Sun-Hee” just because it’s well told and beautifully animated."
Battlestar Galactica,1,"Well-written with some inspired production design and a great ensemble cast, I consider Battlestar Galactica one of the best sci-fi television series ever"
WandaVision,1,"A love letter to sitcoms and the perfect show to bring us back into the MCU, WandaVision is Marvel's most exciting project yet,with an unmissable, Emmy-worthy performance from Elizabeth Olsen."
Unbelievable,1,"It's a powerful, impactful show that will stay with you for a long time. An unflinching look at justice, inequality, and the fantasy of a perfect victim."
Lovecraft Country,1,"Episodes that play specifically with form are quite strong, and the acting throughout is exceptional. The production design, art direction, and cinematography are beautiful and thoughtful."
Normal People,1,"The two young leads are suberb; Mescal in particular is a revelation and gives a rich, thoughtful performance, particularly in some very intimate scenes."
Silicon Valley,1,It's still a very good show - and I look forward to watching the last three episodes of the season - but it's also a show that's very ready to end.
The Wheel of Time,1,"This is not Game of Thrones, it's a warm hug of fantasy tropes, running gags and special effects. It will likely do very well, because those who adore it will watch it again and again."
WandaVision,1,"If you're one of those Marvel Cinematic Universe fans who feel it's time for something truly unique and different: Meet ""Wandavision."""
The Haunting of Hill House,1,"The Haunting of Hill House is a special treat for horror fans, one of the greatest - and most satisfying - uses of the genre is this new, bingeable medium."
Midnight Mass,1,"It's not that Flanagan 'transcends' the horror genre, it's that he fully inhabits it in the best tradition of the great authors. [Full review in Spanish]"
Godless,1,"It's a well acted, gritty, dusty, uber-violent and actually clandestinely old-fashioned mash-up of all the great Westerns you ever knew and loved."
Big Little Lies,1,"It looks great, sounds great, and is populated with some of the best actors on a very crowded planet."
Yellowjackets,1,"One of the wildest shows of 2021! With a stellar ensemble, [Yellowjackets is] a can't miss show that will keep you guessing every week."
The Queen's Gambit,1,"Ms. Taylor-Joy is really the beginning and endgame of The Queen's Gambit, and gives a performance that is as precisely physical as it is emotional."
Ozark,1,"Ozark's finale is full of twists and turns, and continues to intrigue, it will leave you wanting more."
Normal People,1,"An utterly captivating & rare portrayal of a complicated love which will sweep you off your feet. You'll laugh, you'll cry & you'll fall in love all over again."
Community,1,"Welcome back, Community. Even on Yahoo, you're still the best sitcom on network television."
WandaVision,1,"It's great TV on its own merits. But for those who relish these stories but always want them to reach further, WandaVision is a true triumph."
You,1,Season 3 Is the best installment yet-and a brilliant send-up of suburbia...
You,1,"Still a totally twisted delight, You somehow manages to take the stakes and performances to a whole new level in Season 3."
Stranger Things,1,Season four captures all of the magic — and horror — of the best parts of the series.
Slow Horses,1,"It’s solidly entertaining, well-acted and well-plotted."
Mare of Easttown,1,"It constantly surprises and overwhelms you, but all within a homogeneous narrative that remains honest and consistent with itself and with its viewers. [Full review in Spanish]"
Hawkeye,1,"Hawkeye is a great journey with plenty of Christmas warmth, action, humour and some good character development for Hawkeyes both old and new."
Teen Wolf,1,"It was both an ending and a new beginning, as the best series finales usually are, and it was beautiful."
The White Lotus,1,Bartlett's performance is superb. [Full review in Spanish]
Cowboy Bebop,1,The jazz used for the intergalactic-western setting is smart. It gives it an old-timey noir feeling and it meshes well with the way the characters are written and the way they're animated.
Stranger Things,1,"Even if you watch at a casual pace, this is still a highly entertaining, meticulously-constructed serving."
11.22.63,1,"It's a fun and easily absorbing thriller wrapped inside a cautionary tale about indulging in nostalgia - and best of all, it has a definite and emotionally satisfying conclusion."
Reacher,1,"The show stays within its limits, and the result is an enjoyable weekend hang. If you’re in the mood for a fun, glossy action series that’ll keep you entertained, you’ll enjoy Prime Video’s Reacher."
Twin Peaks,1,"This is an entertaining and intriguing return to form that will delight fans and maybe-just maybe-pull in a new audience happy to overlook the slow pace and random non sequiturs in return for a glimpse into Lynch's inimitable, magical, dystopian world."
The Tourist,1,"Overall, I dont think anyone will be disappointed with The Tourist and it may actually surprise some people. There is nothing here you havent seen before but it is delivered in an entertaining package."
Counterpart,1,A strong start. [Full Review in Spanish]
The Last Days of Ptolemy Grey,1,"[Jackson gives] a superb, profoundly moving performance, the best we’ve ever seen from him."
Squid Game,1,"Dark, twisted, and surprisingly emotional, Squid Game is a quick bloody yet visually stunning must watch."
Prehistoric Planet,1,"Prehistoric Planet offers a remarkable blend of science and spectacle: it’s ‘filmed’ in such an immersive and tactile way, and the Cretaceous period is rendered with such intricacy and substance, that you'll forget dinosaurs are extinct."
Chernobyl,1,"As a piece of 'entertainment' Chernobyl isn't easy going, however this well defined and complex tale is definitely worth your time. It crafts a detailed depiction of the Chernobyl disaster, while also delivering stellar performances with its able cast."
Dead End: Paranormal Park,1,Dead End: Paranormal Park is easily one of the best animated shows of the year so far. It is a fun supernatural adventure with a huge heart.
We Are Lady Parts,1,"We Are Lady Parts is an assured mix of second-generation cultural confusion and millennial feminism, one part Chewing Gum to two parts Wayne's World. Its silliness is its strength, and young and older me are thankful for it."
Gaslit,1,"A perennially timely tale, and great TV."
Invincible,1,"I was impressed with how well it represents the classic spirit of the genre while simultaneously exceeding expectations, accommodating modern sensibilities without sacrificing personality. [Full Review in Spanish]"
Shadow and Bone,1,"[Shadow and Bone] transcends familiarity thanks to the commitment of a pitch-perfect cast, well-stylized fight sequences, and intentional character development that makes these relationships feel nuanced and history-laden."
